BKG_NO,BKG_DT,BKG_SHPR_CST_NO,BKG_SHPR_CST_ENM,ACT_SHPR_CST_ENM,POR_PLC_CD,POL_PORT_CD,POD_PORT_CD,DLY_PLC_CD,FRT_PNC_CD,TEU
HK01069441,20200102,PSLH01,PACIFIC STAR EXPRESS (HK) CO., LTD.,PACIFIC STAR EXPRESS (HK) CO.,HKG,HKG,INC,INC,P,1
TH00555228,20200102,PSPI00,PSP INTERNATIONAL LOGISTICS CO.,LTD.,THUNWA,LCH,LCH,HKG,HKG,P,2
SG00262079,20200102,PSPS19,PENANSHIN SHIPPING PTE LTD,MP CONSOL ,SIN,SIN,SHA,SHA,P,2
ID00589064,20200102,PSXI23,PT. PIJAR SUKMA,PT PIJAR SUKMA,SRG,SRG,PUS,PUS,C,2
SG00262123,20200102,PTCS01,POH TIONG CHOON SHIPPING (PTE) LTD,VERSUM MATERIALS,SIN,SIN,PUS,PUS,P,2
MY00375889,20200102,PTFG01,P&T FORWARDING CO.,LTD.,VON BUNDIT,PEN,PEN,INC,INC,C,1
MY00375885,20200102,PTFG01,P&T FORWARDING CO.,LTD.,VON BUNDIT,PEN,PEN,INC,INC,C,1
VN00519268,20200102,PTSV00,PT TRANS & SERVICES JSC,,SGN,SGN,JKT,JKT,P,1
VN00519331,20200102,PTSV02,PROBITY LOGISTICS CORP.,,PROMN,SGN,SGN,BKK,BKK,P,2
TH00555373,20200102,PTTP00,GC Marketing Solutions CO., LTD.,HMC POLYMER CO.,LTD.,LCH,LCH,TAO,TAO,P,8
TH00555277,20200102,PTTP00,GC Marketing Solutions CO., LTD.,GC MARKETING SOLUTIONS,LCH,LCH,YOK,YOK,P,4
VN00519278,20200102,PTV101,PTV  CO.,LTD,,SGN,SGN,BKK,BKK,P,1
VN00519286,20200102,PTV101,PTV  CO.,LTD,C.NAM,SGN,SGN,INC,INC,P,2
VN00519277,20200102,PTV101,PTV  CO.,LTD,,SGN,SGN,LCH,LCH,P,2
VN00519186,20200102,PTV101,PTV  CO.,LTD,DRB,SGN,SGN,PUS,PUS,C,2
HK01069521,20200102,PULH01,PACIFIC UNITED LOGISTICS INC. LTD.,PUL,HKG,HKG,JKT,JKT,P,1
SG00262132,20200102,PWTS02,PANALPINA WORLD TRANSPORT (S) PTE LTD.,PANALPINA WORLD TRANSPORT,SIN,SIN,INC,INC,P,4
SG00262137,20200102,PWTS02,PANALPINA WORLD TRANSPORT (S) PTE LTD.,PANALPINA WORLD TRANSPORT,SIN,SIN,INC,INC,P,1
HK01069378,20200102,QBGZ01,GUANGZHOU QIAOBO SUPPLY CHAIN TECHNOLOGY CO.,LTD.,GUIZHOU REDSTAR DEVELOPING IMP,HUA,HUA,KPO,KPO,P,3
VN00519308,20200102,QMTV00,QMT VIET NAM,,HPH,HPH,MOJ,MOJ,P,2
ID00588895,20200102,RALS01,PT.RYU AURA LINTAS SAMUDERA,PT. JAVAINDO PURESTAR CARBON,SUB,SUB,SHA,SHA,P,1
IN00236456,20200102,RB1701,R. B. INTERNATIONAL,CMS INDUSTRIES,MUN,MUN,KPO,KPO,P,16
IN00236457,20200102,RBI01I,R.B.INTERNATIONAL,SHARIFA AGROTECH,NSA,NSA,PNC,PNC,P,8
TH00555349,20200102,RIV01T,RIVA LOGISTICS CO.,LTD.,THAI SOOJUNG GLASS,BKK,BKK,SHK,SHK,P,1
TH00555411,20200102,RIV01T,RIVA LOGISTICS CO.,LTD. ,S.B. INTER,LKB,LCH,JEA,JEA,P,3
TH00555409,20200102,RIV01T,RIVA LOGISTICS CO.,LTD. ,S.B. INTER,LKB,LCH,JEA,JEA,P,3
IN00236506,20200102,RK1201,R.K.KAYANI FREIGHT BROKERS PVT LTD,ZENITH  DYEINTERMEDIATES  LTD.,NSA,NSA,TYO,TYO,P,1
VN00519354,20200102,RLCV02,REAL LOGISTICS CO., LTD,,SGN,SGN,BKK,BKK,P,22
IN00236449,20200102,RM0007,RAMAMARUTHI MINCHEM INDUSTRIES PVT LTD,RAMAMARUTHI MINCHEM INDUS,MAA,MAA,KPO,KPO,C,50
VN00519134,20200102,RYLV01,ROYAL LINE,,SGN,SGN,HKG,HKG,P,2
VN00519368,20200102,SAIV05,NORTH NEWPORT LOGISTICS JSC.,(NNPL).,,HPH,HPH,KIJ,KIJ,P,5
VN00519367,20200102,SAIV05,NORTH NEWPORT LOGISTICS JSC.,(NNPL).,,HPH,HPH,YKK,YKK,P,10
VN00519153,20200102,SANV01,SANTOH VINA LOGISTICS CO.,LTD.,,HPH,HPH,INC,INC,C,3
VN00519376,20200102,SANV01,SANTOH VINA LOGISTICS CO.,LTD.,,HPH,HPH,INC,INC,C,2
VN00519347,20200102,SCCV02,SMART CARGO SERVICE CO.,LTD,,SGN,SGN,JKT,JKT,P,2
VN00519344,20200102,SCCV02,SMART CARGO SERVICE CO.,LTD,,SGN,SGN,JKT,JKT,P,2
VN00519283,20200102,SCCV05,SON CAO CO., LTD.,,SGN,SGN,ISI,ISI,P,2
TH00555217,20200102,SCG005,SCG GROUP,SIAM KRAFT INDUSTRY,BKK,BKK,INC,INC,P,6
TH00555212,20200102,SCG005,SCG GROUP,SIAM KRAFT INDUSTRY,BKK,BKK,PUS,PUS,P,14
TH00555213,20200102,SCG005,SCG GROUP,SIAM KRAFT INDUSTRY,BKK,BKK,PUS,PUS,P,12
TH00555214,20200102,SCG005,SCG GROUP,SIAM KRAFT INDUSTRY,BKK,BKK,PUS,PUS,P,12
TH00555215,20200102,SCG005,SCG GROUP,SIAM KRAFT INDUSTRY,BKK,BKK,PUS,PUS,P,4
TH00555216,20200102,SCG005,SCG GROUP,SIAM KRAFT INDUSTRY,BKK,BKK,PUS,PUS,P,6
TH00555218,20200102,SCG005,SCG GROUP,SIAM KRAFT INDUSTRY,BKK,BKK,PUS,PUS,P,2
TH00555219,20200102,SCG005,SCG GROUP,SIAM KRAFT INDUSTRY,BKK,BKK,PUS,PUS,P,2
TH00555471,20200102,SCG005,SCG GROUP,SCG PERFORMANCE CHEMICALS CO.,,LCH,LCH,WUH,WUH,P,30
TH00555371,20200102,SCHE02,SCHENKER (THAI) LTD. ,SCHENKER,LCH,LCH,PKG,PKG,P,4
VN00519163,20200102,SCHV00,SCHENKER VIETNAM - HCM,,HPH,HPH,INC,INC,C,1
VN00519295,20200102,SCHV00,SCHENKER VIETNAM - HCM,,HPH,HPH,INC,INC,C,3
VN00519353,20200102,SDBV02,SDB VIETNAM - HANOI BRANCH,,HPH,HPH,INC,INC,C,1
VN00519175,20200102,SDBV10,SDB VIETNAM,,SGN,SGN,INC,INC,P,2
IN00236516,20200102,SE0204,SEAHORSE SHIP AGENCIES PRIVATE LTD,SEAHORSE,ANK,NSA,OSA,OSA,P,1
IN00236515,20200102,SE0204,SEAHORSE SHIP AGENCIES PRIVATE LTD,SEAHORSE,ANK,NSA,OSA,OSA,P,1
HK01069465,20200102,SEIH00,S.E.I. SUN EXPRESS INT'L LTD,S.E.I. SUN EXPRESS INT'L LTD,HKG,HKG,BKK,BKK,P,1
IN00236486,20200102,SF0001,M SHERIF & SONS PVT. LTD.,TIRUMALA COTTON,MAA,MAA,INC,INC,P,30
VN00519348,20200102,SGWV80,SG SAGAWA VIETNAM,SG SAGAWA VIETNAM,SGN,SGN,BKK,BKK,P,1
VN00519035,20200102,SHSV01,SEAHORSE SHIPPING CORPORATION,,SGN,SGN,LCH,LCH,P,2
IN00236512,20200102,SI1201,STAR INDIA CONTAINER LINE PVT. LTD.,MITTAL COIN,THI,NSA,NBO,NBO,P,1
IN00236541,20200102,SI1704,SINOTRANS INDIA PRIVATE LIMITED,AGRO GUM,MUN,MUN,IMI,IMI,P,1
TH00555339,20200102,SIA29T,SMS CORPORATION CO.,LTD. ,SMS CORPORATION CO.,LTD,BKK,BKK,PUS,PUS,P,4
TH00555346,20200102,SIA29T,SMS CORPORATION CO.,LTD. ,SMS CORPORATION CO.,LTD,BKK,BKK,PUS,PUS,P,2
TH00555336,20200102,SIA29T,SMS CORPORATION CO.,LTD. ,SMS CORPORATION CO.,LTD,BKK,BKK,PUS,PUS,P,4
TH00555344,20200102,SIA29T,SMS CORPORATION CO.,LTD. ,SMS CORPORATION CO.,LTD,BKK,BKK,PUS,PUS,P,4
TH00555345,20200102,SIA29T,SMS CORPORATION CO.,LTD. ,SMS CORPORATION CO.,LTD,BKK,BKK,PUS,PUS,P,2
TH00555332,20200102,SIA29T,SMS CORPORATION CO.,LTD. ,SMS CORPORATION CO.,LTD,BKK,BKK,PUS,PUS,P,4
TH00555340,20200102,SIA29T,SMS CORPORATION CO.,LTD. ,SMS CORPORATION CO.,LTD,BKK,BKK,PUS,PUS,P,2
TH00555334,20200102,SIA29T,SMS CORPORATION CO.,LTD. ,SMS CORPORATION CO.,LTD,BKK,BKK,PUS,PUS,P,6
TH00555374,20200102,SIA29T,SMS CORPORATION CO.,LTD. ,SMS CORPORATION,BKK,BKK,SGN,IPL,P,1
TH00555343,20200102,SIA29T,SMS CORPORATION CO.,LTD. ,SMS CORPORATION CO.,LTD,LCH,LCH,PUS,PUS,P,10
TH00555342,20200102,SIA29T,SMS CORPORATION CO.,LTD. ,OTTOGI RAMEN,LCH,LCH,PUS,PUS,P,10
TH00555338,20200102,SIA29T,SMS CORPORATION CO.,LTD. ,SMS CORPORATION CO.,LTD,LCH,LCH,PUS,PUS,P,10
HK01069586,20200102,SIHH03,SCHENKER INT'L (HK) LTD,SCHENKER INT'L (HK) LTD,HKG,HKG,BKK,BKK,P,1
HK01069453,20200102,SIHH03,SCHENKER INT'L (HK) LTD,SCHENKER INTERNATIONAL (H.K.) ,HKG,HKG,CCU,CCU,P,2
HK01069594,20200102,SIHH03,SCHENKER INT'L (HK) LTD,SCHENKER INT'L (HK) LTD,HKG,HKG,HPH,HPH,P,1
HK01069458,20200102,SIHH03,SCHENKER INT'L (HK) LTD,SCHENKER INTERNATIONAL (H.K.) ,HKG,HKG,PKG,PKG,P,1
HK01069419,20200102,SIHH03,SCHENKER INT'L (HK) LTD,SCHENKER INTERNATIONAL (H.K.) ,HKG,HKG,PKG,PKG,P,4
HK01069417,20200102,SIHH03,SCHENKER INT'L (HK) LTD,SCHENKER INTERNATIONAL (H.K.) ,HKG,HKG,PKG,PKG,P,2
HK01069406,20200102,SIHH03,SCHENKER INT'L (HK) LTD,SCHENKER INTERNATIONAL (H.K.) ,HKG,HKG,PUS,PUS,P,1
HK01069380,20200102,SIHH03,SCHENKER INT'L (HK) LTD,SCHENKER INTERNATIONAL (H.K.) ,HKG,HKG,PUS,PUS,P,3
VN00519340,20200102,SILV10,SML (SILVER MOUNTAIN LOG) HAN,,HPH,HPH,PUS,PUS,C,2
SG00262086,20200102,SIPS09,SINTOP INTERNATIONAL PTE LTD,SINTOP,SIN,SIN,KAN,KAN,C,1
SG00262084,20200102,SIPS09,SINTOP INTERNATIONAL PTE LTD,SINTOP,SIN,SIN,PUS,PUS,C,1
SG00262097,20200102,SIPS09,SINTOP INTERNATIONAL PTE LTD,SINTOP,SIN,SIN,PUS,PUS,P,1
SG00262110,20200102,SIPS09,SINTOP INTERNATIONAL PTE LTD,SINTOP,SIN,SIN,PUS,PUS,C,1
ID00589050,20200102,SJLI04,PT.SINAR JAYA LOGISTICS,PT SINAR JAYA LOGISTICS,JKT,JKT,INC,INC,P,1
IN00236494,20200102,SK0109,SKYSTAR LOGISTICS PVT. LTD.,GODREJ INDUSTRIES LTD.,NSA,NSA,PNC,PNC,P,2
ID00589105,20200102,SKLI03,PT.SAMUDERA KAPUAS LOGISTIK,PT. INDONESIA CHEMICAL ALUMINA,PNK,PNK,NGO,NGO,P,10
HK01069470,20200102,SLGZ09,SINOCEAN LOGISTICS (SHENZHEN) CO., LTD. ,SINOCEAN LOGISTICS (SHENZHEN) ,JIU,JIU,INC,INC,C,2
HK01069472,20200102,SLGZ09,SINOCEAN LOGISTICS (SHENZHEN) CO., LTD. ,SINOCEAN LOGISTICS (SHENZHEN) ,JIU,JIU,INC,INC,C,2
VN00519330,20200102,SLLV01,SL LOGISTICS,,SGN,SGN,PUS,PUS,P,2
VN00519329,20200102,SLLV01,SL LOGISTICS,,SGN,SGN,PUS,PUS,P,2
MY00375848,20200102,SLMM12,SCHENKER LOGISTICS (MALAYSIA) SDN BHD (147186-D),SCHENKER PENANG,PEN,PEN,SHA,SHA,P,2
MY00375903,20200102,SLMM16,SPRINT LOGISTICS (M) SDN BHD(IMPORT),SPRINT LOGISTICS (M) SDN BHD,PKG,PKG,SHA,SHA,P,2
ID00589107,20200102,SLRI01,PT.SARANA LINTAS RAYA,PT. SURYA BARU MAKMUR,JKT,JKT,HKG,HKG,P,2
SG00262055,20200102,SLSS15,SOUTHERN LIGHTS SHIPPING PTE LTD ,SOUTHERN LIGHTS ,SIN,SIN,INC,INC,P,1
VN00519310,20200102,SLSV02,SUN LOGISTICS VIETNAM CO., LTD,,HPH,HPH,IMB,IMB,P,1
IN00236528,20200102,SM2201,SHIVAM MINERALS & ALLIED IND [P] LTD,SHIVAM MINERALS AND ALLIED IND,MUN,MUN,LCH,LCH,P,3
MY00375879,20200102,SMSM04,SCHENKER LOGISTICS (M) SDN BHD,SCHENKER,PKG,PKG,SHA,SHA,P,1
ID00589004,20200102,SNGI01,PT.SAMUDERA NAGA GLOBAL,ORIGINAL,JKT,JKT,SGN,SGN,P,8
SG00262135,20200102,SNPS01,STOLT NIELSEN (SINGAPORE) PTE LTD,STOLT REF : 10327286,SIN,SIN,HUA,HUA,P,2
SG00262134,20200102,SNPS01,STOLT NIELSEN (SINGAPORE) PTE LTD,STOLT,SIN,SIN,HUA,HUA,P,2
SG00262136,20200102,SNPS01,STOLT NIELSEN (SINGAPORE) PTE LTD,STOLT REF : 10327224,SIN,SIN,HUA,HUA,P,2
SG00262076,20200102,SNPS01,STOLT NIELSEN (SINGAPORE) PTE LTD,SO # 10881158              1 X,SIN,SIN,NSA,NSA,P,1
SG00262139,20200102,SNPS01,STOLT NIELSEN (SINGAPORE) PTE LTD,SO # 10881337              1 X,SIN,SIN,NSA,NSA,P,1
SG00262073,20200102,SNPS01,STOLT NIELSEN (SINGAPORE) PTE LTD,SO # 10881351              1 X,SIN,SIN,NSA,NSA,P,1
SG00262074,20200102,SNPS01,STOLT NIELSEN (SINGAPORE) PTE LTD,SO # 10881352              1 X,SIN,SIN,NSA,NSA,P,1
SG00262140,20200102,SNPS01,STOLT NIELSEN (SINGAPORE) PTE LTD,SO # 10881346              1 X,SIN,SIN,NSA,NSA,P,1
SG00262078,20200102,SNPS01,STOLT NIELSEN (SINGAPORE) PTE LTD,SO # 10881163              1 X,SIN,SIN,NSA,NSA,P,1
HK01069426,20200102,SOGZ00,SHENZHEN SINO-OCEAN INTERNATIONAL TRANSPORTATION LTD(GUANGZHOU BRANCH),SINOOCEAN GROUP,HUA,HUA,MAA,BLR,P,1
TH00555298,20200102,SPL005,SUPER LUCK TRANSPORT CO LTD,ECO MANAGEMENT INDUSTRIAL CO L,LCH,LCH,YTN,YTN,P,4
IN00236495,20200102,SS1711,SEAHORSE SHIP AGENCIES PVT. LTD,SCOT EDIL PHARMACIA LTD,MUN,MUN,MNL,MNL,P,1
VN00519103,20200102,SSCV03,SEJUNG SHIPPING CO.,LTD.(VIETNAM),SJ,SGN,SGN,JKT,JKT,P,3
MY00375801,20200102,SSGM02,SAMSUNG SDS MALAYSIA SDN BHD,SEMA,PKG,PKG,INC,INC,C,2
MY00375944,20200102,SSGM03,SAMSUNG SDS MALAYSIA SDN BHD,SAMSUNG SDI ENERGY(M)SDN BHD,PKW,PKW,SHA,SHA,P,2
HK01069371,20200102,SSGZ07,SANCO INTERNATIONAL LOGISTICS LTD.,SANCO INTERNATIONAL LOGISTICS ,JMN,JMN,JEA,JEA,P,6
HK01069641,20200102,SSGZ07,SANCO INTERNATIONAL LOGISTICS LTD.,SANCO INTERNATIONAL LOGISTICS ,NNS,NNS,BKK,BKK,P,1
HK01069535,20200102,SSGZ07,SANCO INTERNATIONAL LOGISTICS LTD.,SANCO INTERNATIONAL LOGISTICS ,NNS,NNS,BKK,BKK,P,2
MY00375915,20200102,SSLM20,SSN LOGISTICS (M) SDN BHD,SUNWAY VCP,PKG,PKG,HKG,HKG,P,2
MY00375911,20200102,SSLM20,SSN LOGISTICS (M) SDN BHD,SUNWAY VCP,PKG,PKG,HKG,HKG,P,2
VN00519290,20200102,SSLV11,SUPER SPEED LOGISTICS JSC,,HPH,HPH,INC,INC,P,2
VN00519068,20200102,SSLV11,SUPER SPEED LOGISTICS JSC,SUPER,HPH,HPH,OSA,OSA,P,4
VN00519079,20200102,SSLV11,SUPER SPEED LOGISTICS JSC,SUPER,HPH,HPH,OSA,OSA,P,8
VN00519209,20200102,SSLV11,SUPER SPEED LOGISTICS JSC,SUPE,HPH,HPH,PUS,PUS,P,2
VN00519212,20200102,SSLV11,SUPER SPEED LOGISTICS JSC,SUPE,HPH,HPH,PUS,PUS,P,2
VN00519024,20200102,SSLV11,SUPER SPEED LOGISTICS JSC,SUPER,HPH,HPH,YOK,YOK,P,4
VN00519141,20200102,SSNV01,SUNSUN JSC,,HPH,HPH,INC,INC,C,3
VN00519038,20200102,SSNV01,SUNSUN JSC,,HPH,HPH,INC,INC,C,1
SG00262083,20200102,SSPS25,SCHENKER SINGAPORE (PTE) LTD,Schenker Singapore (Pte) Ltd,SIN,SIN,HKG,HKG,P,3
SG00262138,20200102,SSPS25,SCHENKER SINGAPORE (PTE) LTD,SCHENKER SINGAPORE PTE LTD,SIN,SIN,HUA,HUA,P,1
SG00262058,20200102,SSPS25,SCHENKER SINGAPORE (PTE) LTD,Shell Eastern Petroleum (Pte) Ltd,SIN,SIN,MAA,MAA,P,1
SG00262081,20200102,SSPS25,SCHENKER SINGAPORE (PTE) LTD,SHELL CHEMICAL,SIN,SIN,MAA,MAA,P,1
SG00262053,20200102,SSPS25,SCHENKER SINGAPORE (PTE) LTD,Shell Eastern Petroleum (Pte) Ltd,SIN,SIN,MAA,MAA,P,2
SG00262060,20200102,SSPS25,SCHENKER SINGAPORE (PTE) LTD,SCHENKER SINGAPORE,SIN,SIN,NSA,NSA,P,3
SG00262128,20200102,SSPS25,SCHENKER SINGAPORE (PTE) LTD,SHELL CHEMICAL,SIN,SIN,NSA,NSA,P,10
SG00262129,20200102,SSPS25,SCHENKER SINGAPORE (PTE) LTD,SHELL CHEMICAL,SIN,SIN,NSA,NSA,P,10
SG00262130,20200102,SSPS25,SCHENKER SINGAPORE (PTE) LTD,Schenker Singapore (Pte) Ltd,SIN,SIN,SHA,SHA,P,2
SG00262109,20200102,SSPS25,SCHENKER SINGAPORE (PTE) LTD,Teknor Apex Asia Pacific,SIN,SIN,SHA,SHA,P,1
SG00262133,20200102,SSPS25,SCHENKER SINGAPORE (PTE) LTD,Schenker Singapore (Pte) Ltd,SIN,SIN,SHA,SHA,P,4
SG00262066,20200102,SSPS25,SCHENKER SINGAPORE (PTE) LTD,Schenker Singapore (Pte) Ltd,SIN,SIN,SHA,SHA,P,1
SG00262096,20200102,SSPS25,SCHENKER SINGAPORE (PTE) LTD,Schenker Singapore (Pte) Ltd,SIN,SIN,SHK,SHK,P,1
IN00236505,20200102,ST01,ST JOHN FREIGHT,KANNAN FIBRE INDUSTRIES,VTZ,VTZ,SHA,SHA,P,16
IN00236458,20200102,ST0116,ST JOHN FREIGHT STSTEMS,ST JOHN FREIGHT SYSTEMS LTD,MOB,MUN,PNC,PNC,P,1
IN00236508,20200102,ST0117,SEATRANS AGENCIES PVT.LTD.,VINAYAKA MICRONS(INDIA)PVT LTD,DRI,MUN,PNC,PNC,P,10
MY00375850,20200102,STAM01,SRI TRANG AGRO-INDUSTRY PUBLIC CO., LTD,SRITRANG AGRO,PEN,PEN,KAN,KAN,C,6
MY00375886,20200102,STAR18,STAR CONCORD LOGISTICS SDN BHD,STAR CONCORD LOGISTICS SDN BHD,PKG,PKG,SHA,SHA,P,1
VN00519062,20200102,STCV06,SONG TAN LOGISTICS JSC,,SGN,SGN,BKK,BKK,P,2
VN00519232,20200102,STCV06,SONG TAN LOGISTICS JSC,,SGN,SGN,LCH,LCH,P,1
HK01069598,20200102,STGZ01,SINOTRANS GUANGDONG INTERNATIONAL FORWARDING CO.,LTD GUANGHZOU BRANCH,SINOTRANS SOUTH CHINA CO., LTD,JIU,JIU,KNZ,KNZ,P,4
MY00375913,20200102,STSM06,SHIPCO TRANSPORT SDN BHD,GREEN & NATURAL,PKG,PKG,HUA,HUA,P,1
MY00375926,20200102,STSM06,SHIPCO TRANSPORT SDN BHD,GREEN & NATURAL,PKG,PKG,PUS,PUS,P,1
TH00555410,20200102,SUNR00,SUNRISE LOGIX (THAILAND) CO.,LTD.,MOTORHOME ,LCH,LCH,TKS,TKS,P,2
VN00519224,20200102,SVCV06,SEBANG VINA CO., LTD,,HPH,HPH,INC,INC,P,1
VN00519225,20200102,SVCV06,SEBANG VINA CO., LTD,,HPH,HPH,INC,INC,P,2
VN00519285,20200102,SVCV06,SEBANG VINA CO., LTD,,HPH,HPH,PUS,PUS,C,6
VN00519298,20200102,SVIV03,SAO VIET INTERNATIONAL TRADING CO.,LTD,,HPH,HPH,MAA,MAA,P,1
IN00236498,20200102,SW0003,SHREENATHJI WORLDWIDE PRIVATE LTD,GLOSSY IMPEX PRIVATE LIMITED,MUN,MUN,TAO,TAO,P,22
IN00236497,20200102,SW0003,SHREENATHJI WORLDWIDE PRIVATE LTD,SHIV SHAKTI GINNING AND PRESSING PVT.LTD.,MUN,MUN,TAO,TAO,P,36
IN00236484,20200102,SW0003,SHREENATHJI WORLDWIDE PRIVATE LTD,GLOSSY IMPEX PRIVATE LIMITED,MUN,MUN,TAO,TAO,P,36
VN00519233,20200102,SWLV01,SCANWELL LOGISTICS VIETNAM,,SGN,SGN,SHK,SHK,P,2
VN00519393,20200102,SWVV01,SONGWOL VINA JOINT STOCK COMPANY.,,SGN,SGN,PUS,PUS,C,2
VN00519395,20200102,SWVV01,SONGWOL VINA JOINT STOCK COMPANY.,,SGN,SGN,PUS,PUS,C,2
VN00519267,20200102,TAFV02,TRI - ALLIANCE FREIGHT SERVICES CO., LTD,,SGN,SGN,LCH,LCH,P,2
IN00236547,20200102,TEAM00,TEAMGLOBAL LOGISTICS PVT LTD.,TEAMGLOBAL LOGISTICS PVT LTD,NSA,NSA,PNC,PNC,P,2
HK01069566,20200102,TEHH07,TRANSWAYS LOGISTICS INTERNATIONAL (HK) LTD,TRANSWAYS LOGISTICS INT'L LTD,HKG,HKG,INC,INC,C,2
TH00555489,20200102,TEI01T,TEIJIN POLYESTER (THAILAND) LIMITED,TEIJIN POLYESTER (THAILAND),BKK,BKK,IYM,IYM,C,1
TH00555317,20200102,TEI01T,TEIJIN POLYESTER (THAILAND) LIMITED,TEIJIN (THAILAND),BKK,BKK,KNZ,KNZ,C,2
TH00555354,20200102,TEI01T,TEIJIN POLYESTER (THAILAND) LIMITED,TEIJIN POLYESTER,BKK,BKK,KNZ,KNZ,C,2
TH00555309,20200102,TEI01T,TEIJIN POLYESTER (THAILAND) LIMITED,TEIJIN POLYESTER (THAILAND),BKK,BKK,KNZ,KNZ,C,4
